label,uncertain_count,certain_count,precision_certain_only,recall_certain_only,f1_certain_only,accuracy_certain_only,precision_binary_mode,recall_binary_mode,f1_binary_mode,accuracy_binary_mode
Enlarged Cardiomediastinum,1277,79,0.8,0.0851063829787234,0.15384615384615385,0.4430379746835443,0.046511627906976744,0.0851063829787234,0.06015037593984962,0.9078171091445427
Cardiomegaly,1356,0,,,,,0.0,0.0,0.0,1.0
Lung Opacity,1037,319,0.9714285714285714,0.7828947368421053,0.8670309653916212,0.7711598746081505,0.29238329238329236,0.7828947368421053,0.4257602862254025,0.5265486725663717
Lung Lesion,1290,66,0.4,0.03389830508474576,0.0625,0.09090909090909091,0.031746031746031744,0.03389830508474576,0.03278688524590164,0.9129793510324484
Edema,1075,281,0.8152173913043478,0.5102040816326531,0.6276150627615062,0.6832740213523132,0.26595744680851063,0.5102040816326531,0.34965034965034963,0.7942477876106194
Consolidation,1242,114,0.5727272727272728,0.9545454545454546,0.7159090909090909,0.5614035087719298,0.27391304347826084,0.9545454545454546,0.42567567567567566,0.8746312684365781
Pneumonia,1120,236,0.48507462686567165,0.65,0.5555555555555556,0.559322033898305,0.16883116883116883,0.65,0.26804123711340205,0.7382005899705014
Atelectasis,1356,0,,,,,0.0,0.0,0.0,1.0
Pneumothorax,999,357,0.3333333333333333,0.06796116504854369,0.11290322580645161,0.6918767507002801,0.1111111111111111,0.06796116504854369,0.08433734939759036,0.887905604719764
Pleural Effusion,891,465,0.8642533936651584,0.5913312693498453,0.7022058823529411,0.6516129032258065,0.4360730593607306,0.5913312693498453,0.5019710906701709,0.7205014749262537
Pleural Other,1335,21,1.0,0.09523809523809523,0.17391304347826086,0.09523809523809523,0.08,0.09523809523809523,0.08695652173913043,0.9690265486725663
Fracture,1320,36,1.0,0.06060606060606061,0.11428571428571428,0.1388888888888889,0.03636363636363636,0.06060606060606061,0.045454545454545456,0.9380530973451328
Support Devices,894,462,0.9716312056737588,0.6298850574712643,0.7642956764295676,0.6341991341991342,0.6255707762557078,0.6298850574712643,0.6277205040091638,0.7603244837758112
