label,threshold,precision,recall,f0.3
Enlarged Cardiomediastinum,0.9657761454582214,0.9814814814814815,0.9906542056074766,0.9822324237014368
Cardiomegaly,0.3,1.0,0.0,0.0
Lung Opacity,0.6819370239973068,0.6853932584269663,0.6406067677946324,0.6814594649994876
Lung Lesion,0.982699692249298,1.0,0.945054945054945,0.9952224227625014
Edema,0.8964175283908844,0.8169398907103825,0.6873563218390805,0.804418116746884
Consolidation,0.9232079200446606,0.9447852760736196,0.850828729281768,0.9362485358915723
Pneumonia,0.9008983075618744,0.7972027972027972,0.42696629213483145,0.7439382146919716
Atelectasis,0.3,1.0,0.0,0.0
Pneumothorax,0.9538437128067015,0.9795918367346939,0.993103448275862,0.9806935332708528
Pleural Effusion,0.86984783411026,0.8574660633484162,0.4501187648456057,0.7978485070879524
Pleural Other,0.889509379863739,1.0,1.0,1.0
Fracture,0.9553472399711608,1.0,1.0,1.0
Support Devices,0.9334182739257812,0.908485856905158,0.5204957102001907,0.8558116794409054
