label,threshold,precision,recall,f0.3
Enlarged Cardiomediastinum,0.966404139995575,0.25,0.14285714285714285,0.2354211663066955
Cardiomegaly,0.3,1.0,0.0,0.0
Lung Opacity,0.6050950288772583,0.625,0.11363636363636363,0.455685618729097
Lung Lesion,0.3,0.056338028169014086,1.0,0.06109865470852019
Edema,0.7176117897033691,0.35,0.3888888888888889,0.35291396854764107
Consolidation,0.5802516341209412,0.25,0.25,0.25
Pneumonia,0.3,0.12698412698412698,0.5714285714285714,0.13569872393401805
Atelectasis,0.3,1.0,0.0,0.0
Pneumothorax,0.9873412251472472,0.5,0.05555555555555555,0.3011049723756906
Pleural Effusion,0.6996037364006042,0.53125,0.4473684210526316,0.5231507622811971
Pleural Other,0.3,0.02,0.3333333333333333,0.0216829122737219
Fracture,0.3,0.030303030303030304,0.2,0.03258594917787744
Support Devices,0.9670993089675904,0.9285714285714286,0.2549019607843137,0.7622377622377622
