label,precision_certain,recall_certain,f1_certain,precision_binary,recall_binary,f1_binary,accuracy_certain,positives_certain,negatives_certain,predicted_pos_certain,coverage_certain,total_certain,threshold_x,tp_x,fp_x,fn_x,tn_x,coverage_rate_x,prevalence_x,accuracy_binary,positives_binary,negatives_binary,predicted_pos_binary,coverage_binary,total_binary,threshold_y,tp_y,fp_y,fn_y,tn_y,coverage_rate_y,prevalence_y,coverage_rate,prevalence
summary::macro_precision,0.856,,,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary::macro_recall,0.755,,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary::macro_f1,0.763,,,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary::macro_accuracy,0.723,,,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary::micro_precision,0.874,,,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary::micro_recall,0.729,,,0.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary::micro_f1,0.795,,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary::micro_accuracy,0.700,,,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enlarged Cardiomediastinum,0.824,0.824,0.824,0.038,0.824,0.073,0.733,34.000,11.000,34.000,45.000,1167.000,0.507,28.000,6.000,6.000,5.000,0.039,0.756,0.392,34.000,1133.000,732.000,1167.000,1167.000,0.507,28.000,704.000,6.000,429.000,1.000,0.029,0.039,0.756
Cardiomegaly,0.866,0.866,0.866,0.293,0.866,0.438,0.778,313.000,65.000,313.000,378.000,1167.000,0.452,271.000,42.000,42.000,23.000,0.324,0.828,0.404,313.000,854.000,925.000,1167.000,1167.000,0.452,271.000,654.000,42.000,200.000,1.000,0.268,0.324,0.828
Lung Opacity,0.966,0.963,0.964,0.312,0.963,0.471,0.931,351.000,12.000,350.000,363.000,1167.000,0.258,338.000,12.000,13.000,0.000,0.311,0.967,0.350,351.000,816.000,1083.000,1167.000,1167.000,0.258,338.000,745.000,13.000,71.000,1.000,0.301,0.311,0.967
Lung Lesion,0.917,1.000,0.957,0.028,1.000,0.055,0.917,33.000,3.000,36.000,36.000,1167.000,0.300,33.000,3.000,0.000,0.000,0.031,0.917,0.028,33.000,1134.000,1167.000,1167.000,1167.000,0.300,33.000,1134.000,0.000,0.000,1.000,0.028,0.031,0.917
Edema,0.796,0.842,0.818,0.228,0.842,0.359,0.754,190.000,99.000,201.000,289.000,1167.000,0.536,160.000,41.000,30.000,58.000,0.248,0.657,0.510,190.000,977.000,702.000,1167.000,1167.000,0.536,160.000,542.000,30.000,435.000,1.000,0.163,0.248,0.657
Consolidation,0.902,0.979,0.939,0.095,0.979,0.174,0.893,94.000,18.000,102.000,112.000,1167.000,0.462,92.000,10.000,2.000,8.000,0.096,0.839,0.251,94.000,1073.000,964.000,1167.000,1167.000,0.462,92.000,872.000,2.000,201.000,1.000,0.081,0.096,0.839
Pneumonia,0.648,0.680,0.663,0.099,0.680,0.173,0.606,100.000,75.000,105.000,175.000,1167.000,0.529,68.000,37.000,32.000,38.000,0.150,0.571,0.441,100.000,1067.000,688.000,1167.000,1167.000,0.529,68.000,620.000,32.000,447.000,1.000,0.086,0.150,0.571
Atelectasis,0.980,0.959,0.969,0.283,0.959,0.438,0.941,314.000,6.000,307.000,320.000,1167.000,0.263,301.000,6.000,13.000,0.000,0.274,0.981,0.337,314.000,853.000,1062.000,1167.000,1167.000,0.263,301.000,761.000,13.000,92.000,1.000,0.269,0.274,0.981
Pneumothorax,0.412,0.420,0.416,0.152,0.420,0.223,0.663,112.000,280.000,114.000,392.000,1167.000,0.540,47.000,67.000,65.000,213.000,0.336,0.286,0.719,112.000,1055.000,310.000,1167.000,1167.000,0.540,47.000,263.000,65.000,792.000,1.000,0.096,0.336,0.286
Pleural Effusion,0.896,0.905,0.901,0.480,0.905,0.627,0.829,507.000,85.000,512.000,592.000,1167.000,0.394,459.000,53.000,48.000,32.000,0.507,0.856,0.532,507.000,660.000,957.000,1167.000,1167.000,0.394,459.000,498.000,48.000,162.000,1.000,0.434,0.507,0.856
Pleural Other,1.000,0.160,0.276,0.083,0.160,0.110,0.160,25.000,0.000,4.000,25.000,1167.000,0.001,4.000,0.000,21.000,0.000,0.021,1.000,0.944,25.000,1142.000,48.000,1167.000,1167.000,0.001,4.000,44.000,21.000,1098.000,1.000,0.021,0.021,1.000
Fracture,0.950,1.000,0.974,0.017,1.000,0.033,0.950,19.000,1.000,20.000,20.000,1167.000,0.462,19.000,1.000,0.000,0.000,0.017,0.950,0.031,19.000,1148.000,1150.000,1167.000,1167.000,0.462,19.000,1131.000,0.000,17.000,1.000,0.016,0.017,0.950
Support Devices,0.976,0.216,0.353,0.477,0.216,0.297,0.238,575.000,21.000,127.000,596.000,1167.000,0.005,124.000,3.000,451.000,18.000,0.511,0.965,0.497,575.000,592.000,260.000,1167.000,1167.000,0.005,124.000,136.000,451.000,456.000,1.000,0.493,0.511,0.965
No Finding,0.000,0.000,0.000,0.000,0.000,0.000,0.874,147.000,1020.000,0.000,1167.000,1167.000,,0.000,0.000,147.000,1020.000,1.000,0.126,0.874,147.000,1020.000,0.000,1167.000,1167.000,,0.000,0.000,147.000,1020.000,1.000,0.126,1.000,0.126
